algorithm,bits,wikitext2
awq,2.0,15.16874885559082
awq,3.0,6.2171549797058105
awq,4.0,5.603067874908447
awq,3.170174870466321,6.372992992401123
awq,3.4886658031088085,6.195377826690674
awq,2.755181347150259,8.004325866699219
awq,3.398639896373057,6.021625995635986
awq,2.7249028497409324,7.790140151977539
awq,3.2125971502590676,6.262645721435547
awq,2.6578691709844557,8.431535720825195
awq,3.111075129533679,6.783544063568115
awq,2.695110103626943,9.77723503112793
awq,3.522020725388601,6.696624755859375
awq,3.4447862694300517,6.1193060874938965
awq,2.747247409326425,7.948591232299805
awq,3.0947215025906734,7.2670392990112305
awq,3.0093911917098444,6.864998817443848
awq,3.3612370466321244,6.570860385894775
awq,3.0469559585492227,7.132749080657959
awq,2.8137953367875648,8.161767959594727
awq,2.977493523316062,7.667767524719238
awq,2.6232189119170983,8.565695762634277
awq,2.9227655440414506,7.057611465454102
awq,2.5283354922279795,9.181584358215332
awq,2.245628238341969,11.173965454101562
awq,3.421146373056995,6.384925842285156
awq,3.2302461139896375,6.270418167114258
awq,2.7349417098445596,7.6537981033325195
awq,2.9195272020725387,8.10329532623291
awq,3.4417098445595853,6.187775135040283
awq,3.009715025906736,7.672181606292725
awq,3.1397344559585494,7.237367630004883
awq,3.3499028497409324,6.303714752197266
awq,3.211301813471503,6.639912128448486
awq,3.3960492227979273,6.220444202423096
awq,3.3238341968911915,6.220191478729248
awq,2.714378238341969,9.075372695922852
awq,2.23089378238342,11.30419921875
awq,2.9689119170984455,7.504177093505859
awq,2.9577396373056994,7.300869941711426
awq,2.8539507772020727,7.337813377380371
awq,3.427784974093264,6.04803991317749
awq,2.9405764248704664,7.905542373657227
awq,2.6781088082901556,7.826835632324219
awq,2.7232836787564767,8.1458158493042
awq,2.224740932642487,11.440561294555664
awq,2.7759067357512954,7.2483930587768555
awq,2.6156088082901556,8.08352279663086
